Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Year
177,Metal Gear Solid 2: Sons of Liberty,metal-gear-solid-2-sons-of-liberty,Action,M,PS2,Konami,Konami Computer Entertainment Japan,6.05,2.45,2.01,0.87,2001
181,Metal Gear Solid 4: Guns of the Patriots,metal-gear-solid-4-guns-of-the-patriots,Action,M,PS3,Konami,Kojima Productions,6.0,2.63,1.72,0.83,2008
185,LittleBigPlanet,littlebigplanet,Platform,E,PS3,Sony Computer Entertainment,Media Molecule,5.85,2.8,2.01,0.17,2008
191,Destiny,destiny,Shooter,T,PS4,Activision,Bungie,5.76,2.53,2.13,0.16,2014
193,Tekken 2,tekken-2,Fighting,T,PS,Namco,Namco,5.74,2.26,1.89,1.36,1996
197,Cooking Mama,cooking-mama,Simulation,E,DS,Majesco,Office Create,5.66,3.09,1.92,0.07,2006
201,Assassin's Creed II,assassins-creed-ii,Action,M,PS3,Ubisoft,Ubisoft Montreal,5.57,2.54,1.95,0.21,2009
203,Assassin's Creed,assassins-creed,Action,M,X360,Ubisoft,Ubisoft Montreal,5.55,3.28,1.64,0.07,2007
204,Batman: Arkham City,batman-arkham-city,Action,T,PS3,Warner Bros. Interactive,Rocksteady Studios,5.54,2.72,1.89,0.11,2011
205,Forza Motorsport 3,forza-motorsport-3,Racing,E,X360,Microsoft Game Studios,Turn 10 Studios,5.5,2.99,1.9,0.1,2009
215,Crash Bandicoot: The Wrath of Cortex,crash-bandicoot-the-wrath-of-cortex,Platform,E,PS2,Universal Interactive,Traveller's Tales,5.42,2.07,2.29,0.24,2001
216,The Witcher 3: Wild Hunt,the-witcher-3-wild-hunt,Role-Playing,M,PS4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,5.39,1.48,2.82,0.28,2015
217,Final Fantasy XIII,final-fantasy-xiii,Role-Playing,T,PS3,Square Enix,Square Enix,5.35,1.75,1.23,1.87,2010
221,Assassin's Creed III,assassins-creed-iii,Action-Adventure,M,X360,Ubisoft,Ubisoft Montreal,5.31,3.13,1.71,0.03,2012
223,Assassin's Creed II,assassins-creed-ii,Action,M,X360,Ubisoft,Ubisoft Montreal,5.3,3.14,1.55,0.08,2009
228,Tomb Raider II,tomb-raider-ii,Adventure,T,PS,Eidos Interactive,Core Design Ltd.,5.24,2.3,2.46,0.2,1997
