Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Year
1711,Donkey Kong Jungle Beat,donkey-kong-jungle-beat,Platform,E10,GC,Nintendo,Nintendo EAD Tokyo,1.34,0.84,0.22,0.24,2005
1712,Need for Speed Carbon,need-for-speed-carbon,Racing,E10,PS2,Electronic Arts,EA Black Box,1.34,1.22,0.05,0.05,2006
1713,Battlefield: Bad Company,battlefield-bad-company,Shooter,T,PS3,Electronic Arts,EA Digital Illusions CE,1.34,0.76,0.36,0.05,2008
1719,Crysis 2,crysis-2,Shooter,M,PS3,Electronic Arts,Crytek,1.33,0.48,0.57,0.06,2011
1720,Saints Row IV,saints-row-iv,Action,M,PS3,Deep Silver,Volition Inc.,1.33,0.58,0.45,0.09,2013
1721,Alan Wake,alan-wake,Action,T,X360,Microsoft Game Studios,Remedy Entertainment,1.33,0.66,0.5,0.05,2010
1722,Spider-Man: The Movie,spider-man-the-movie,Platform,E,GBA,Activision,Digital Eclipse,1.33,0.92,0.35,0.01,2002
1727,Tony Hawk's Pro Skater,tony-hawks-pro-skater,Sports,E,GB,Activision,Natsume,1.33,0.9,0.38,0.01,2000
1732,Grand Theft Auto: Chinatown Wars,grand-theft-auto-chinatown-wars,Adventure,M,DS,Rockstar Games,Rockstar Leeds/North,1.33,0.58,0.56,0.05,2009
1733,WWE SmackDown vs Raw 2008,wwe-smackdown-vs-raw-2008,Fighting,T,PS3,THQ,Yuke's Media Creations,1.33,0.62,0.5,0.01,2007
1735,UFC Undisputed 2010,ufc-undisputed-2010,Fighting,T,X360,THQ,Yuke's Future Media Creators,1.32,0.9,0.31,0.0,2010
1736,Fallout 76,fallout-76,Role-Playing,M,PS4,Bethesda Softworks,Bethesda Game Studios,1.32,0.52,0.49,0.1,2018
1737,Need for Speed Underground Rivals,need-for-speed-underground-rivals,Racing,E,PSP,Electronic Arts,Team Fusion,1.32,0.69,0.38,0.02,2005
1739,TOCA 2 Touring Car Championship,toca-2-touring-car-championship,Racing,E,PS,Codemasters,Codemasters,1.32,0.03,1.16,0.02,1999
1741,MAG: Massive Action Game,mag-massive-action-game,Shooter,T,PS3,Sony Computer Entertainment,Zipper Interactive,1.32,0.77,0.3,0.09,2010
1747,Rage,rage,Shooter,M,PS3,Bethesda Softworks,id Software,1.32,0.47,0.59,0.06,2011
1753,Lego Star Wars: The Force Awakens,lego-star-wars-the-force-awakens,Action-Adventure,E10,PS4,Warner Bros. Interactive Entertainment,TT Fusion,1.31,0.3,0.78,0.02,2016
1766,NBA Live 07,nba-live-07,Sports,E,PS2,EA Sports,EA Canada,1.3,1.07,0.04,0.02,2006
1781,Assassin's Creed: Rogue,assassins-creed-rogue,Action,M,PS3,Ubisoft,Ubisoft Sofia,1.3,0.46,0.57,0.07,2014
1783,Digimon World,digimon-world,Role-Playing,T,PS,Bandai,Bandai,1.3,0.56,0.38,0.28,2000
1785,High School Musical 3: Senior Year DANCE!,high-school-musical-3-senior-year-dance,Misc,E,Wii,Disney Interactive Studios,Page 44 Studios,1.29,0.67,0.49,0.0,2008
1786,The Last Guardian,the-last-guardian,Action-Adventure,T,PS4,Sony Interactive Entertainment,SIE Japan Studio,1.29,0.4,0.58,0.13,2016
1788,Mega Man Battle Network 3 Blue / White Version,mega-man-battle-network-3-blue,Role-Playing,E,GBA,Capcom,Capcom,1.29,0.39,0.02,0.85,2003
1789,Watch Dogs,watch-dogs,Action-Adventure,M,X360,Ubisoft,Ubisoft Montreal,1.29,0.73,0.44,0.01,2014
1790,Dark Souls II,dark-souls-ii,Role-Playing,T,PS3,Namco Bandai Games,From Software,1.29,0.38,0.35,0.41,2015
1797,Gold's Gym: Cardio Workout,golds-gym-cardio-workout,Sports,E,Wii,Ubisoft,Rocket Company,1.29,1.1,0.04,0.06,2009
1801,Project CARS,project-cars,Racing,E,PS4,Bandai Namco Games,Slightly Mad Studios,1.28,0.29,0.76,0.04,2015
1804,Need for Speed Carbon,need-for-speed-carbon,Racing,E10,Wii,Electronic Arts,EA Black Box,1.28,0.45,0.66,0.02,2006
1806,Injustice: Gods Among Us,injustice-gods-among-us,Fighting,T,PS3,Warner Bros. Interactive Entertainment,NetherRealm Studios,1.28,0.5,0.56,0.01,2013
1814,Castlevania: Symphony of the Night,castlevania-symphony-of-the-night,Platform,T,PS,Konami,Konami Computer Entertainment Tokyo,1.27,0.58,0.4,0.21,1997
1819,WWE '12,wwe-12,Fighting,T,X360,THQ,"Yuke's Co., Ltd.",1.27,0.74,0.4,0.0,2011
1826,.hack//Infection Part 1,.hack,Role-Playing,T,PS2,Bandai,CyberConnect2,1.27,0.49,0.38,0.26,2003
1828,Need for Speed Rivals,need-for-speed-rivals,Racing,E10,PS3,Electronic Arts,Ghost Games,1.27,0.33,0.69,0.05,2013
1831,Battle Arena Toshinden,battle-arena-toshinden,Fighting,T,PS,Sony Computer Entertainment,Tamsoft,1.27,0.39,0.26,0.53,1995
1833,Devil Dice,devil-dice,Puzzle,E,PS,THQ,Shift,1.26,0.05,0.03,1.1,1998
1835,Hyrule Warriors,hyrule-warriors,Misc,T,WiiU,Nintendo,Omega Force,1.26,0.59,0.44,0.13,2014
1838,Tomb Raider: Underworld,tomb-raider-underworld,Adventure,T,PS3,Eidos Interactive,Crystal Dynamics,1.26,0.45,0.55,0.05,2008
1841,SOCOM: U.S. Navy SEALs Confrontation,socom-us-navy-seals-confrontation,Shooter,M,PS3,Sony Computer Entertainment,Slant Six Games,1.26,0.94,0.17,0.02,2008
1842,Far Cry 4,far-cry-4,Shooter,M,PS3,Ubisoft,Ubisoft Montreal,1.26,0.35,0.63,0.09,2014
1844,Assassin's Creed: Bloodlines,assassins-creed-bloodlines,Action,M,PSP,Ubisoft,Griptonite Studio,1.26,0.43,0.5,0.05,2009
1846,Persona 4 Golden,persona-4-golden,Role-Playing,M,PSV,Atlus,Atlus,1.25,0.37,0.29,0.39,2012
1847,Star Wars: The Force Unleashed,star-wars-the-force-unleashed,Action,T,PS2,LucasArts,Krome Studios,1.25,0.49,0.0,0.01,2008
1856,Reel Fishing,reel-fishing,Sports,E,PS,Natsume,Pack-In Video,1.25,0.99,0.13,0.1,1998
1857,Need for Speed: Most Wanted,need-for-speed-most-wanted,Racing,T,X360,Electronic Arts,Electronic Arts,1.25,1.0,0.13,0.02,2005
1858,Tom Clancy's Rainbow Six: Vegas,tom-clancys-rainbow-six-vegas,Shooter,M,PS3,Ubisoft,Ubisoft,1.25,0.47,0.53,0.03,2007
1859,Black,black,Shooter,M,PS2,Electronic Arts,Criterion Games,1.25,1.01,0.04,0.03,2006
1865,Cars 2,cars-2,Racing,E,DS,Disney Interactive Studios,Avalanche Software,1.25,0.68,0.41,0.04,2011
1868,Ratchet: Deadlocked,ratchet-deadlocked,Shooter,T,PS2,Sony Computer Entertainment,Insomniac Games,1.24,0.85,0.03,0.22,2005
1872,Ridge Racer V,ridge-racer-v,Racing,E,PS2,Namco,Namco,1.24,0.24,0.19,0.75,2000
1873,Battlefield: Hardline,battlefield-hardline,Shooter,M,XOne,Electronic Arts,EA DICE,1.24,0.73,0.39,0.01,2015
1880,Need for Speed Carbon,need-for-speed-carbon,Racing,E10,PS3,Electronic Arts,EA Black Box,1.24,0.49,0.51,0.03,2006
1887,2010 FIFA World Cup South Africa,2010-fifa-world-cup-south-africa,Sports,E,PS3,EA Sports,EA Canada,1.23,0.3,0.64,0.07,2010
1894,Donkey Kong Country 2,donkey-kong-country-2,Platform,E,GBA,Nintendo,Rare Ltd.,1.23,0.79,0.27,0.12,2004
1896,Star Wars Battlefront II,star-wars-battlefront-ii,Shooter,T,PSP,LucasArts,Savage Entertainment,1.22,1.05,0.06,0.01,2005
1897,Intelligent Qube,intelligent-qube,Puzzle,E,PS,Sony Computer Entertainment,Sony Computer Entertainment,1.22,0.13,0.07,1.0,1997
1909,NBA 2K2,nba-2k2,Sports,E,PS2,Sega,Visual Concepts,1.22,0.59,0.46,0.01,2002
1915,Medal of Honor: Airborne,medal-of-honor-airborne,Shooter,T,PS3,Electronic Arts,EA Los Angeles,1.21,0.25,0.7,0.03,2007
1916,Bayonetta,bayonetta,Action,M,PS3,Sega,PlatinumGames,1.21,0.44,0.4,0.21,2010
1919,Star Wars Episode 1: Jedi Power Battles,star-wars-episode-1-jedi-power-battles,Action,T,PS,LucasArts,LucasArts,1.21,0.66,0.48,0.01,2000
1922,Need for Speed Underground,need-for-speed-underground,Racing,E,GC,Electronic Arts,EA Black Box,1.21,0.69,0.48,0.01,2003
1925,Boom Blox,boom-blox,Puzzle,E,Wii,Electronic Arts,EA Los Angeles,1.21,0.71,0.38,0.0,2008
1927,FIFA Soccer 11,fifa-soccer-11,Sports,E,PSP,EA Sports,HB Studios,1.21,0.13,0.7,0.01,2010
1930,World Soccer Winning Eleven 9 (JP & Others sales),world-soccer-winning-eleven-9-jp-amp-others-sales,Sports,E,PSP,Konami,Konami Computer Entertainment Tokyo,1.2,0.01,0.88,0.31,2006
1933,F1 2011,f1-2011,Racing,E,PS3,Codemasters,Codemasters Birmingham,1.2,0.12,0.75,0.11,2011
1934,Metal Gear Solid V: Ground Zeroes,metal-gear-solid-v-ground-zeroes,Action-Adventure,M,PS4,Konami Digital Entertainment,Kojima Productions,1.2,0.36,0.5,0.17,2014
1936,Mad Max (2013),mad-max-2013,Action,M,PS4,Warner Bros. Interactive Entertainment,Avalanche Studios,1.2,0.38,0.59,0.05,2015
1956,Enter the Matrix,enter-the-matrix,Action,T,XB,Atari,Shiny Entertainment,1.2,0.72,0.43,0.01,2003
1958,Shadow of the Colossus,shadow-of-the-colossus,Action-Adventure,T,PS4,Sony Interactive Entertainment,Bluepoint Games,1.2,0.44,0.52,0.05,2018
1961,Mario & Sonic at the London 2012 Olympic Games,mario-amp-sonic-at-the-london-2012-olympic-games,Sports,E,3DS,Sega,Sega,1.19,0.18,0.66,0.27,2012
1964,Pro Evolution Soccer 2008,pro-evolution-soccer-2008,Sports,E,Wii,Konami,Konami,1.19,0.09,0.84,0.11,2008
1966,Metal Gear Solid: Portable Ops,metal-gear-solid-portable-ops,Action,M,PSP,Konami,Kojima Productions,1.19,0.38,0.35,0.38,2006
1974,Spider-Man: The Movie,spider-man-the-movie,Action,E,GC,Activision,Treyarch,1.19,0.86,0.27,0.01,2002
1976,Final Fantasy I & II: Dawn of Souls,final-fantasy-i-amp-ii-dawn-of-souls,Role-Playing,E,GBA,Nintendo,Square Enix,1.19,0.64,0.24,0.29,2004
1987,Resident Evil: Operation Raccoon City,resident-evil-operation-raccoon-city,Shooter,M,PS3,Capcom,Slant Six Games,1.18,0.48,0.24,0.36,2012
1989,LEGO Jurassic World,lego-jurassic-world,Action,E10,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,1.18,0.41,0.56,0.02,2015
1991,Medal of Honor: Warfighter,medal-of-honor-warfighter,Shooter,M,X360,Electronic Arts,Danger Close Games,1.18,0.61,0.46,0.01,2012
1992,Red Dead Redemption: Undead Nightmare,red-dead-redemption-undead-nightmare,Action,M,PS3,Rockstar Games,Rockstar San Diego,1.18,0.47,0.45,0.06,2010
1993,WWE '12,wwe-12,Fighting,T,PS3,THQ,"Yuke's Co., Ltd.",1.18,0.53,0.45,0.02,2011
1998,Mission: Impossible,mission-impossible,Action,T,N64,Ocean,Infogrames,1.17,0.74,0.38,0.02,1998
2000,WWE SmackDown vs. Raw 2010,wwe-smackdown-vs-raw-2010,Fighting,T,PS3,THQ,JAKKS Pacific,1.17,0.48,0.48,0.01,2009
2002,Army of Two,army-of-two,Shooter,M,PS3,Electronic Arts,EA Montreal,1.17,0.74,0.26,0.02,2008
2003,Rage Racer,rage-racer,Racing,E,PS,Namco,Namco,1.17,0.16,0.11,0.83,1997
2006,Sunset Overdrive,sunset-overdrive,Action,M,XOne,Microsoft Studios,Insomniac Games,1.16,0.64,0.42,0.0,2014
2010,Bushido Blade,bushido-blade,Fighting,T,PS,Sony Computer Entertainment,Light Weight,1.16,0.39,0.27,0.43,1997
2013,Mirror's Edge,mirrors-edge,Platform,T,X360,Electronic Arts,EA Digital Illusions CE,1.16,0.51,0.51,0.01,2008
2019,Sega Rally Championship,sega-rally-championship,Racing,E,SAT,Sega,Sega-AM3,1.16,0.21,0.16,0.77,1995
2023,Medal of Honor Heroes 2,medal-of-honor-heroes-2,Shooter,T,PSP,Electronic Arts,Team Fusion,1.16,0.5,0.39,0.02,2007
2025,FIFA Soccer 10,fifa-soccer-10,Sports,E,PSP,EA Sports,EA Canada,1.16,0.16,0.68,0.01,2009
2030,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,NS,Bethesda Softworks,Bethesda Softworks,1.15,0.67,0.32,0.06,2017
2035,Dragon Quest VIII: Journey of the Cursed King,dragon-quest-viii-journey-of-the-cursed-king,Role-Playing,T,3DS,Nintendo,Level 5 / Armor Project,1.15,0.14,0.11,0.88,2017
2036,Ratchet & Clank: All 4 One,ratchet-amp-clank-all-4-one,Platform,E10,PS3,Sony Computer Entertainment,Insomniac Games,1.15,0.75,0.22,0.05,2011
2053,007: Quantum of Solace,007-quantum-of-solace,Shooter,T,PS3,Activision,Treyarch,1.14,0.43,0.51,0.02,2008
2056,Tenchu: Wrath of Heaven,tenchu-wrath-of-heaven,Action,M,PS2,Activision,K2 LLC,1.14,0.44,0.34,0.25,2003
2057,Shadow of the Colossus,shadow-of-the-colossus,Adventure,T,PS2,Sony Computer Entertainment,Team ICO,1.14,0.78,0.03,0.2,2005
2058,Brave Fencer Musashi,brave-fencer-musashi,Role-Playing,E,PS,Square,SquareSoft,1.14,0.25,0.17,0.65,1998
2061,Hot Shots Golf: Out of Bounds,hot-shots-golf-out-of-bounds,Sports,E,PS3,Sony Computer Entertainment,Clap Hanz,1.14,0.31,0.03,0.76,2008
2071,Final Fantasy XV,final-fantasy-xv,Role-Playing,T,XOne,Square Enix,Square Enix,1.14,0.72,0.3,0.01,2016
2076,Mobile Suit Gundam: Federation vs. Zeon,mobile-suit-gundam-federation-vs-zeon,Simulation,T,PS2,Bandai,Bandai,1.14,0.12,0.1,0.88,2002
2077,Need for Speed Underground 2,need-for-speed-underground-2,Racing,E,GC,Electronic Arts,EA Black Box,1.14,0.7,0.39,0.01,2004
2082,Mirror's Edge,mirrors-edge,Platform,T,PS3,Electronic Arts,EA Digital Illusions CE,1.13,0.31,0.59,0.02,2008
2083,Rocksmith,rocksmith,Misc,T,X360,Ubisoft,Ubisoft,1.13,0.85,0.19,0.01,2011
2084,Plants vs Zombies: Garden Warfare,plants-vs-zombies-garden-warfare,Shooter,E10,X360,Electronic Arts,PopCap Games,1.13,0.54,0.5,0.0,2014
2086,The Elder Scrolls V: Skyrim VR,the-elder-scrolls-v-skyrim-vr,Role-Playing,M,PS4,Bethesda Softworks,Bethesda Softworks,1.13,0.47,0.47,0.01,2017
2091,Rocksmith,rocksmith,Misc,T,PS3,Ubisoft,Ubisoft,1.13,0.53,0.38,0.09,2011
2096,ModNation Racers,modnation-racers,Racing,E,PS3,Sony Computer Entertainment,United Front Games,1.13,0.5,0.4,0.06,2010
2099,SOCOM: U.S. Navy SEALs Fireteam Bravo,socom-us-navy-seals-fireteam-bravo,Shooter,M,PSP,Sony Computer Entertainment,Zipper Interactive,1.12,1.03,0.0,0.01,2005
2109,Need for Speed: Most Wanted (2012),need-for-speed-most-wanted-2012,Racing,E10,PSV,Electronic Arts,Criterion Games,1.12,0.33,0.53,0.01,2012
2114,Dragon Age II,dragon-age-ii,Role-Playing,M,X360,Electronic Arts,BioWare Corp.,1.12,0.72,0.29,0.01,2011
2117,Crackdown 2,crackdown-2,Shooter,M,X360,Microsoft Game Studios,Ruffian Games,1.12,0.63,0.36,0.02,2010
2118,Crash Bandicoot N. Sane Trilogy,crash-bandicoot-n-sane-trilogy,Platform,E10,NS,Activision,Toys for Bob,1.11,0.44,0.57,0.02,2018
2120,Transformers: The Game,transformers-the-game,Action,T,PS2,Activision,Traveller's Tales,1.11,0.63,0.37,0.0,2007
2121,LEGO Marvel Super Heroes 2,lego-marvel-super-heroes-2,Action,E10,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,1.11,0.33,0.6,0.0,2017
2123,Castlevania: Lords of Shadow,castlevania-lords-of-shadow,Action,M,PS3,Konami,Mercury Steam,1.11,0.5,0.37,0.1,2010
2134,Red Dead Redemption: Undead Nightmare,red-dead-redemption-undead-nightmare,Action,M,X360,Rockstar Games,Rockstar San Diego,1.11,0.61,0.38,0.02,2010
2136,EA Sports UFC,ea-sports-ufc,Fighting,T,PS4,Electronic Arts,EA Canada,1.11,0.49,0.43,0.01,2014
2166,FIFA 18,fifa-18,Sports,E,NS,EA Sports,EA Vancouver,1.1,0.35,0.55,0.13,2017
2167,GRID,grid,Racing,E,PS3,Codemasters,Codemasters,1.1,0.31,0.57,0.03,2008
2168,NBA Live 2001,nba-live-2001,Sports,E,PS2,EA Sports,EA Canada,1.1,0.52,0.4,0.04,2001
2171,Tales of Symphonia,tales-of-symphonia,Role-Playing,T,GC,Namco,Namco Tales Studio,1.1,0.54,0.21,0.31,2004
2176,Medal of Honor: Airborne,medal-of-honor-airborne,Shooter,T,X360,Electronic Arts,EA Los Angeles,1.1,0.45,0.52,0.01,2007
2177,Star Ocean: The Second Story,star-ocean-the-second-story,Role-Playing,E,PS,Sony Computer Entertainment,tri-Ace,1.1,0.26,0.1,0.72,1999
2180,Untold Legends: Brotherhood of the Blade,untold-legends-brotherhood-of-the-blade,Role-Playing,T,PSP,Sony Online Entertainment,Sony Online Entertainment,1.09,0.54,0.33,0.01,2005
2185,WWE SmackDown vs. Raw 2011,wwe-smackdown-vs-raw-2011,Fighting,T,PS3,THQ,JAKKS Pacific,1.09,0.44,0.46,0.01,2010
2192,Bully: Scholarship Edition,bully-scholarship-edition,Action,T,X360,Rockstar Games,Rockstar Vancouver/Mad Doc Software,1.09,0.53,0.42,0.03,2008
2194,The Godfather,the-godfather,Action,M,PS2,Electronic Arts,Headgate,1.09,0.89,0.03,0.01,2006
2195,Alien: Isolation,alien-isolation,Adventure,M,PS4,Sega,Creative Assembly,1.09,0.29,0.59,0.05,2014
2200,Skate 2,skate-2,Sports,T,X360,Electronic Arts,EA Black Box,1.09,0.82,0.17,0.01,2009
2204,Dante's Inferno,dantes-inferno,Action,M,PS3,Electronic Arts,Visceral Games,1.08,0.64,0.28,0.04,2010
2206,Virtua Fighter 5,virtua-fighter-5,Fighting,T,PS3,Sega,Sega-AM2,1.08,0.29,0.52,0.08,2007
2207,Pro Evolution Soccer 2014,pro-evolution-soccer-2014,Sports,E,PS3,Konami Digital Entertainment,Konami,1.08,0.03,0.46,0.51,2013
2215,Grand Theft Auto: Chinatown Wars,grand-theft-auto-chinatown-wars,Adventure,M,PSP,Rockstar Games,Rockstar Leeds,1.08,0.28,0.5,0.03,2009
2217,Star Fox: Assault,star-fox-assault,Shooter,T,GC,Nintendo,Namco,1.08,0.68,0.18,0.19,2005
2220,Marvel vs. Capcom 3: Fate of Two Worlds,marvel-vs-capcom-3-fate-of-two-worlds,Fighting,T,X360,Capcom,Capcom,1.07,0.79,0.18,0.03,2011
2224,Prince of Persia,prince-of-persia,Adventure,T,PS3,Ubisoft,Ubisoft Montreal,1.07,0.47,0.41,0.03,2008
2229,Virtua Fighter,virtua-fighter,Fighting,T,SAT,Sega,Sega-AM2,1.07,0.17,0.12,0.77,1995
2230,MySims Agents,mysims-agents,Adventure,E,DS,Electronic Arts,EA Redwood Shores,1.07,0.54,0.42,0.0,2009
2232,Pro Evolution Soccer 2008,pro-evolution-soccer-2008,Sports,E,X360,Konami,Konami,1.07,0.08,0.9,0.04,2008
2233,Tomb Raider: Underworld,tomb-raider-underworld,Adventure,T,X360,Eidos Interactive,Crystal Dynamics,1.07,0.53,0.42,0.01,2008
2235,SoulCalibur III,soulcalibur-iii,Fighting,T,PS2,Namco,Namco,1.07,0.74,0.15,0.13,2005
2236,Naruto: Ultimate Ninja Storm,naruto-ultimate-ninja-storm,Fighting,T,PS3,Namco Bandai,CyberConnect2,1.07,0.49,0.34,0.09,2008
2237,Ridge Racer Revolution,ridge-racer-revolution,Racing,E,PS,Namco,Namco,1.07,0.17,0.12,0.71,1996
2241,Spore Creatures,spore-creatures,Simulation,E,DS,Electronic Arts,Foundation 9,1.07,0.66,0.3,0.0,2008
2245,DiRT 3,dirt-3,Racing,T,PS3,Codemasters,Codemasters,1.06,0.27,0.58,0.01,2011
2252,Endless Ocean,endless-ocean,Adventure,E,Wii,Nintendo,Arika,1.06,0.43,0.46,0.09,2008
2255,Sonic Generations,sonic-generations,Platform,E,3DS,Sega,Sonic Team,1.06,0.44,0.52,0.01,2011
2262,Darksiders,darksiders,Action,M,X360,THQ,Vigil Games,1.06,0.67,0.28,0.01,2010
2264,Mercenaries 2: World in Flames,mercenaries-2-world-in-flames,Shooter,T,X360,Electronic Arts,Pandemic Studios,1.06,0.65,0.3,0.01,2008
2267,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,T,DS,Activision,n-Space,1.05,0.95,0.02,0.01,2007
2269,Resident Evil: The Darkside Chronicles,resident-evil-the-darkside-chronicles,Shooter,M,Wii,Capcom,"Cavia, inc.",1.05,0.46,0.31,0.2,2009
2277,MySims Agents,mysims-agents,Adventure,E,Wii,Electronic Arts,EA Redwood Shores,1.05,0.63,0.32,0.0,2009
2278,Lego Marvel Super Heroes: Universe in Peril,lego-marvel-super-heroes-universe-in-peril,Action,E10,3DS,Warner Bros. Interactive Entertainment,TT Fusion,1.05,0.42,0.5,0.04,2013
2286,Virtua Tennis 3,virtua-tennis-3,Sports,E,PS3,Sega,Sega-AM3,1.05,0.23,0.58,0.03,2007
2288,The Evil Within 2,the-evil-within-2,Action,M,PS4,Bethesda Softworks,Tango Gameworks,1.05,0.31,0.49,0.09,2017
2294,Rocksmith 2014,rocksmith-2014,Music,T,PS3,Ubisoft,Ubisoft San Francisco,1.05,0.56,0.26,0.05,2013
2300,WWE SmackDown vs. Raw 2010,wwe-smackdown-vs-raw-2010,Fighting,T,X360,THQ,JAKKS Pacific,1.04,0.56,0.37,0.01,2009
2301,Sleeping Dogs,sleeping-dogs,Action-Adventure,M,PS3,Square Enix,United Front Games,1.04,0.31,0.5,0.05,2012
2302,Tales of Destiny,tales-of-destiny,Role-Playing,T,PS,Namco,Wolfteam,1.04,0.09,0.06,0.83,1998
2305,Prey (2017),prey-2017,Shooter,M,PS4,Bethesda Softworks,Arkane Studios,1.04,0.25,0.62,0.02,2017
2307,Mega Man X4,mega-man-x4,Platform,E,PS,Capcom,Capcom,1.04,0.45,0.3,0.22,1997
2308,Naruto: Clash of Ninja 2,naruto-clash-of-ninja-2,Fighting,T,GC,D3 Publisher,8ing/Raizing,1.04,0.44,0.12,0.45,2006
2310,Bomberman 64,bomberman-64,Puzzle,E,N64,Hudson Soft,Hudson Soft,1.04,0.5,0.2,0.31,1997
2319,MotorStorm: Arctic Edge,motorstorm-arctic-edge,Racing,T,PSP,Sony Computer Entertainment,Bigbig Studios,1.04,0.16,0.58,0.0,2009
2320,Brink,brink,Shooter,T,X360,Bethesda Softworks,Splash Damage,1.04,0.59,0.35,0.01,2011
2326,Nioh,nioh,Action,M,PS4,Sony Interactive Entertainment,Team Ninja,1.03,0.34,0.36,0.2,2017
2328,Tom Clancy's Ghost Recon Advanced Warfighter 2,tom-clancys-ghost-recon-advanced-warfighter-2,Shooter,T,PS3,Ubisoft,Red Storm Entertainment / Ubisoft Paris,1.03,0.34,0.48,0.02,2007
2329,Disney Fairies: Tinker Bell and the Lost Treasure,disney-fairies-tinker-bell-and-the-lost-treasure,Adventure,E,DS,Disney Interactive Studios,Hyde,1.03,0.57,0.35,0.02,2009
2330,FIFA Soccer 08,fifa-soccer-08,Sports,E,Wii,EA Sports,EA Canada,1.03,0.32,0.59,0.01,2007
2341,Sonic Unleashed,sonic-unleashed,Platform,E10,PS3,Sega,Sonic Team,1.03,0.56,0.32,0.01,2008
2343,Dragon Ball Z: Budokai Tenkaichi 3,dragon-ball-z-budokai-tenkaichi-3,Fighting,T,Wii,Atari,Spike / Bandai Namco Games,1.03,0.32,0.36,0.26,2007
2347,Pokemon Conquest,pokemon-conquest,Role-Playing,E,DS,Nintendo,Tecmo Koei Games,1.02,0.56,0.05,0.37,2012
2350,Shrek 2,shrek-2,Platform,E,GC,Activision,"Luxoflux, Inc.",1.02,0.73,0.26,0.01,2004
2352,Bulletstorm,bulletstorm,Shooter,M,X360,Electronic Arts,People Can Fly,1.02,0.61,0.32,0.01,2011
2368,F1 2012,f1-2012,Racing,E,PS3,Codemasters,Codemasters Birmingham,1.01,0.12,0.65,0.05,2012
2369,EyePet,eyepet,Simulation,E,PS3,Sony Computer Entertainment,SCEE London Studio,1.01,0.37,0.52,0.04,2010
2372,LEGO Marvel's Avengers,lego-marvels-avengers,Action,E10,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,1.01,0.31,0.53,0.01,2016
2379,Prince of Persia,prince-of-persia,Adventure,T,X360,Ubisoft,Ubisoft Montreal,1.01,0.54,0.34,0.02,2008
2382,NBA 2K10,nba-2k10,Sports,E,X360,2K Sports,Visual Concepts,1.01,0.91,0.02,0.0,2009
2383,Evolve,evolve,Shooter,M,PS4,2K Games,Turtle Rock Studios,1.01,0.38,0.41,0.05,2015
2387,Breath of Fire III,breath-of-fire-iii,Role-Playing,T,PS,Capcom,Capcom,1.0,0.29,0.19,0.46,1998
2389,Rayman Origins,rayman-origins,Platform,E10,PS3,Ubisoft,Ubisoft,1.0,0.33,0.5,0.01,2011
2390,PES 2009: Pro Evolution Soccer,pes-2009-pro-evolution-soccer,Sports,E,X360,Konami,Konami,1.0,0.13,0.76,0.03,2008
2402,Excitebike 64,excitebike-64,Racing,E,N64,Nintendo,Left Field Productions,1.0,0.65,0.15,0.19,2000
2429,SoulCalibur II,soulcalibur-ii,Fighting,T,XB,Namco,Namco,1.0,0.78,0.18,0.03,2003
2432,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),winning-eleven-pro-evolution-soccer-2007-all-region-sales,Sports,E,X360,Konami,Konami Computer Entertainment Tokyo,1.0,0.08,0.9,0.02,2007
2435,Tom Clancy's Splinter Cell: Blacklist,tom-clancys-splinter-cell-blacklist,Action-Adventure,M,X360,Ubisoft,Ubisoft Toronto,1.0,0.57,0.33,0.01,2013
2437,Dynasty Warriors 3: Xtreme Legends,dynasty-warriors-3-xtreme-legends,Action,T,PS2,KOEI,Omega Force,1.0,0.13,0.1,0.74,2003
2439,Guitar Hero: Aerosmith,guitar-hero-aerosmith,Misc,T,PS3,Activision,Neversoft,1.0,0.73,0.15,0.0,2008
2442,Ace Combat X: Skies of Deception,ace-combat-x-skies-of-deception,Simulation,T,PSP,Namco Bandai,Bandai Namco Games,1.0,0.37,0.31,0.12,2006
2444,Haze,haze,Shooter,M,PS3,Ubisoft,Free Radical Design,0.99,0.49,0.33,0.02,2008
2447,Tales of Graces f,tales-of-graces-f,Role-Playing,T,PS3,Namco Bandai,Namco Tales Studio,0.99,0.28,0.19,0.45,2012
2448,DiRT 2,dirt-2,Racing,T,PS3,Codemasters,Codemasters,0.99,0.27,0.53,0.0,2009
2450,The Bouncer,the-bouncer,Action,T,PS2,Square,SquareSoft,0.99,0.3,0.23,0.38,2001
2451,Apollo Justice: Ace Attorney,apollo-justice-ace-attorney,Adventure,T,DS,Capcom,Capcom,0.99,0.28,0.05,0.64,2008
2452,Rocksmith 2014,rocksmith-2014,Music,T,X360,Ubisoft,Ubisoft San Francisco,0.99,0.73,0.16,0.0,2013
