Rank,Name,basename,Genre,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Year
573,inFAMOUS,infamous,Action,PS3,Sony Computer Entertainment,Sucker Punch Productions,8.7,2.99,1.76,0.68,0.12,2009
581,Battlefield: Bad Company 2,battlefield-bad-company-2,Shooter,PS3,Electronic Arts,EA Digital Illusions CE,8.9,2.96,1.33,1.11,0.08,2010
584,Street Fighter IV,street-fighter-iv,Fighting,X360,Capcom,Capcom / Dimps Corporation,9.3,2.95,1.83,0.7,0.15,2009
593,Mass Effect,mass-effect,Role-Playing,X360,Microsoft Game Studios,BioWare Edmonton,9.2,2.91,1.83,0.79,0.03,2007
598,World Soccer Winning Eleven 7 International,world-soccer-winning-eleven-7-international,Sports,PS2,Konami,Konami Computer Entertainment Tokyo,9.2,2.9,0.08,1.24,1.13,2004
600,Cooking Mama: Cook Off,cooking-mama-cook-off,Simulation,Wii,Majesco,Office Create,5.9,2.89,1.41,1.12,0.05,2007
603,Syphon Filter,syphon-filter,Shooter,PS,989 Studios,Eidetic,9.2,2.88,2.03,0.72,0.02,1999
605,Mafia III,mafia-iii,Action-Adventure,PS4,2K Games,Hangar 13,6.9,2.87,0.72,1.67,0.04,2016
607,Colin McRae Rally,colin-mcrae-rally,Racing,PS,Sony Computer Entertainment,Codemasters,7.9,2.87,0.09,2.43,0.12,2000
611,The Elder Scrolls III: Morrowind,the-elder-scrolls-iii-morrowind,Role-Playing,XB,Bethesda Softworks,Bethesda Softworks,8.2,2.86,2.09,0.63,0.03,2002
613,Assassin's Creed: Brotherhood,assassins-creed-brotherhood,Action,PS3,Ubisoft,Ubisoft Montreal,9.1,2.85,1.87,0.57,0.11,2010
622,BioShock,bioshock,Shooter,X360,2K Games,2K Australia / 2K Boston,9.6,2.83,1.65,0.85,0.05,2007
625,Finding Nemo,finding-nemo,Platform,GBA,THQ,Vicarious Visions,7.0,2.82,1.59,1.05,0.04,2003
626,Medal of Honor,medal-of-honor,Shooter,PS3,Electronic Arts,EA Los Angeles,7.0,2.82,1.28,1.04,0.07,2010
629,Gran Turismo (PSP),gran-turismo-psp,Racing,PSN,Sony Computer Entertainment,Polyphony Digital,7.8,2.82,0.43,0.91,0.31,2009
630,Need for Speed: Hot Pursuit,need-for-speed-hot-pursuit,Racing,PS3,Electronic Arts,Criterion Games,8.9,2.81,1.05,1.24,0.03,2010
632,Killzone 3,killzone-3,Shooter,PS3,Sony Computer Entertainment,Guerrilla Games,8.2,2.81,1.46,0.87,0.09,2011
644,Ratchet & Clank: Going Commando,ratchet-amp-clank-going-commando,Platform,PS2,Sony Computer Entertainment,Insomniac Games,8.7,2.78,1.44,0.83,0.26,2003
647,Saints Row: The Third,saints-row-the-third,Action,X360,THQ,Volition Inc.,8.3,2.77,1.26,1.14,0.07,2011
654,L.A. Noire,la-noire,Adventure,X360,Rockstar Games,Team Bondi,9.1,2.73,1.55,0.92,0.02,2011
656,Far Cry: Primal,far-cry-primal,Action-Adventure,PS4,Ubisoft,Ubisoft Montreal,7.2,2.73,0.63,1.61,0.07,2016
657,"Pokemon: Let's Go, Eevee!"," eevee""",Role-Playing,NS,Nintendo,Game Freak,8.3,2.73,1.22,0.8,0.51,2018
659,Need for Speed (2015),need-for-speed-2015,Racing,PS4,Electronic Arts,Ghost Games,7.0,2.72,0.59,1.66,0.06,2015
668,Call of Duty 3,call-of-duty-3,Shooter,X360,Activision,Treyarch,8.0,2.7,1.49,0.92,0.02,2006
669,LEGO Star Wars II: The Original Trilogy,lego-star-wars-ii-the-original-trilogy,Action,PS2,LucasArts,Traveller's Tales,8.4,2.69,1.85,0.64,0.01,2006
674,Halo Wars,halo-wars,Strategy,X360,Microsoft Game Studios,Ensemble Studios,8.1,2.67,1.58,0.8,0.04,2009
675,Call of Duty 2: Big Red One,call-of-duty-2-big-red-one,Shooter,PS2,Activision,Treyarch,8.5,2.67,1.48,0.92,0.01,2005
680,Medal of Honor Heroes,medal-of-honor-heroes,Shooter,PSP,Electronic Arts,Team Fusion,6.7,2.66,0.86,1.11,0.01,2006
682,Need for Speed: Shift,need-for-speed-shift,Racing,PS3,Electronic Arts,Slightly Mad Studios,8.2,2.65,0.69,1.4,0.04,2009
686,Medal of Honor,medal-of-honor,Shooter,X360,Electronic Arts,EA Los Angeles,7.3,2.64,1.58,0.8,0.04,2010
687,NBA 2K12,nba-2k12,Sports,X360,2K Sports,Visual Concepts,9.1,2.64,2.32,0.14,0.01,2011
689,NBA 2K13,nba-2k13,Sports,PS3,2K Sports,Visual Concepts,8.9,2.63,1.74,0.46,0.05,2012
693,FIFA Soccer 10,fifa-soccer-10,Sports,X360,EA Sports,EA Canada,8.9,2.62,0.6,1.79,0.01,2009
694,LittleBigPlanet,littlebigplanet,Platform,PSP,Sony Computer Entertainment,SCEE Cambridge,8.8,2.61,0.65,1.27,0.01,2009
700,Grand Theft Auto: Episodes from Liberty City,grand-theft-auto-episodes-from-liberty-city,Adventure,X360,Rockstar Games,Rockstar North,9.0,2.6,1.08,1.22,0.03,2009
702,Mario + Rabbids: Kingdom Battle,mario-rabbids-kingdom-battle,Strategy,NS,Ubisoft,Ubisoft Milan,8.3,2.59,1.1,1.08,0.22,2017
704,FIFA Soccer 09,fifa-soccer-09,Sports,PS3,Electronic Arts,EA Canada,8.6,2.59,0.49,1.63,0.04,2008
709,WWE SmackDown vs. RAW 2007,wwe-smackdown-vs-raw-2007,Fighting,PS2,THQ,Yuke's,8.0,2.58,1.4,0.88,0.03,2006
711,Ratchet & Clank: Up Your Arsenal,ratchet-amp-clank-up-your-arsenal,Platform,PS2,Sony Computer Entertainment,Insomniac Games,9.1,2.57,1.31,0.74,0.31,2004
715,Ratchet & Clank Future: Tools of Destruction,ratchet-amp-clank-future-tools-of-destruction,Platform,PS3,Sony Computer Entertainment,Insomniac Games,8.9,2.57,0.93,1.1,0.08,2007
717,Dragon Age: Origins,dragon-age-origins,Role-Playing,X360,Electronic Arts,BioWare Edmonton,8.5,2.56,1.76,0.55,0.03,2009
718,FIFA 16,fifa-16,Sports,PS3,EA Sports,EA Canada,9.0,2.55,0.43,1.68,0.05,2015
723,Crazy Taxi,crazy-taxi,Racing,PS2,Acclaim Entertainment,Hitmaker,8.2,2.52,1.13,1.12,0.06,2001
725,Tomb Raider (2013),tomb-raider-2013,Action,PS3,Square Enix,Crystal Dynamics,8.9,2.51,0.6,1.45,0.08,2013
726,Midnight Club: Los Angeles,midnight-club-los-angeles,Racing,PS3,Rockstar Games,Rockstar San Diego,8.3,2.5,1.59,0.54,0.05,2008
746,Saints Row: The Third,saints-row-the-third,Action,PS3,THQ,Volition Inc.,8.3,2.48,0.86,1.06,0.18,2011
749,Pure,pure,Racing,X360,Disney Interactive Studios,Black Rock Studio,8.3,2.47,1.38,0.84,0.0,2008
753,Resistance 2,resistance-2,Shooter,PS3,Sony Computer Entertainment,Insomniac Games,8.5,2.47,1.15,0.84,0.1,2008
768,Sonic Adventure,sonic-adventure,Platform,DC,Sega,Sonic Team,8.9,2.42,1.26,0.61,0.46,1999
769,Tom Clancy's Rainbow Six: Vegas 2,tom-clancys-rainbow-six-vegas-2,Shooter,X360,Ubisoft,Ubisoft Montreal,8.2,2.42,1.56,0.61,0.02,2008
771,Kinect: Disneyland Adventures,kinect-disneyland-adventures,Action-Adventure,X360,Microsoft Studios,Frontier Developments,8.5,2.41,1.73,0.43,0.02,2011
772,Pro Evolution Soccer 2011,pro-evolution-soccer-2011,Sports,PS3,Konami,Konami,6.0,2.41,0.29,1.18,0.54,2010
776,Halo: Combat Evolved Anniversary,halo-combat-evolved-anniversary,Shooter,X360,Microsoft Studios,343 Industries,8.0,2.41,1.44,0.71,0.04,2011
780,Midnight Club: Los Angeles,midnight-club-los-angeles,Racing,X360,Rockstar Games,Rockstar San Diego,8.0,2.4,1.72,0.45,0.01,2008
794,Guitar Hero,guitar-hero,Misc,PS2,RedOctane,Harmonix Music Systems,8.0,2.38,1.67,0.61,0.03,2005
800,The Incredibles,the-incredibles,Action,PS2,THQ,Heavy Iron Studios,5.9,2.37,0.96,1.08,0.04,2004
818,Kinect Sports: Season Two,kinect-sports-season-two,Sports,X360,Microsoft Studios,Rare Ltd.,6.6,2.33,1.38,0.72,0.02,2011
825,Grand Theft Auto,grand-theft-auto,Action,PS,Take-Two Interactive,DMA Design,6.0,2.32,0.79,1.35,0.04,1998
830,The Sims 3,the-sims-3,Simulation,X360,Electronic Arts,The Sims Studio,8.0,2.31,1.28,0.82,0.0,2010
839,Dead Island,dead-island,Action,PS3,Deep Silver,Techland,6.7,2.29,1.08,0.74,0.15,2011
842,Pro Evolution Soccer 2010,pro-evolution-soccer-2010,Sports,PS3,Konami,Konami,7.0,2.28,0.3,1.27,0.46,2009
855,No Man's Sky,no-mans-sky,Action-Adventure,PS4,Hello Games,Hello Games,6.8,2.26,0.89,0.97,0.04,2016
858,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,PS3,RedOctane,Neversoft,8.2,2.25,1.4,0.53,0.02,2007
879,Need for Speed: Hot Pursuit,need-for-speed-hot-pursuit,Racing,X360,Electronic Arts,Criterion Games,8.8,2.2,1.03,0.96,0.0,2010
886,BioShock 2,bioshock-2,Shooter,X360,2K Games,2K Marin,8.6,2.2,1.45,0.54,0.02,2010
888,Final Fantasy XIII,final-fantasy-xiii,Role-Playing,X360,Square Enix,Square Enix,8.1,2.19,1.3,0.67,0.01,2010
895,Pro Evolution Soccer 2012,pro-evolution-soccer-2012,Sports,PS3,Konami,Konami,7.5,2.19,0.34,0.97,0.55,2011
896,Saints Row,saints-row,Action,X360,THQ,Volition Inc.,8.0,2.18,1.17,0.77,0.02,2006
897,Need for Speed: Payback,need-for-speed-payback,Racing,PS4,Electronic Arts,Ghost Games,5.8,2.18,0.62,1.18,0.04,2017
905,Scribblenauts,scribblenauts,Puzzle,DS,Warner Bros. Interactive,5TH Cell,8.2,2.17,1.67,0.3,0.02,2009
927,NBA 2K12,nba-2k12,Sports,PS3,2K Sports,Visual Concepts,9.0,2.13,1.62,0.27,0.05,2011
930,Project Gotham Racing,project-gotham-racing,Racing,XB,Microsoft,Bizarre Creations,8.4,2.12,1.37,0.61,0.05,2001
932,NBA 2K11,nba-2k11,Sports,X360,2K Sports,Visual Concepts,8.8,2.11,1.86,0.12,0.01,2010
934,PES 2009: Pro Evolution Soccer,pes-2009-pro-evolution-soccer,Sports,PS3,Konami,Konami,7.7,2.11,0.11,1.34,0.4,2008
935,Need for Speed: Hot Pursuit 2,need-for-speed-hot-pursuit-2,Racing,PS2,Electronic Arts,EA Seattle,8.7,2.11,1.68,0.31,0.02,2002
943,Need for Speed: Most Wanted 5-1-0,need-for-speed-most-wanted-5-1-0,Racing,PSP,Electronic Arts,EA Black Box,7.4,2.09,1.77,0.13,0.02,2005
949,Grand Theft Auto: Episodes from Liberty City,grand-theft-auto-episodes-from-liberty-city,Adventure,PS3,Rockstar Games,Rockstar North,9.0,2.09,0.62,0.99,0.13,2010
954,Portal 2,portal-2,Shooter,X360,Valve,Valve Software,9.6,2.08,1.41,0.49,0.01,2011
959,Metal Gear Solid: Peace Walker,metal-gear-solid-peace-walker,Action,PSP,Konami,Kojima Productions,8.6,2.08,0.46,0.42,0.96,2010
964,UFC 2009 Undisputed,ufc-2009-undisputed,Fighting,X360,THQ,Yuke's Osaka,8.4,2.07,1.48,0.39,0.0,2009
968,The Incredibles,the-incredibles,Action,GBA,THQ,Helixe,5.4,2.06,1.15,0.77,0.04,2004
969,Call of Duty 2,call-of-duty-2,Shooter,X360,Activision,Infinity Ward,8.8,2.06,1.84,0.04,0.01,2005
972,R4: Ridge Racer Type 4,r4-ridge-racer-type-4,Racing,PS,Namco,Namco,9.1,2.06,0.68,0.46,0.79,1999
973,Tom Clancy's Splinter Cell: Conviction,tom-clancys-splinter-cell-conviction,Action,X360,Ubisoft,Ubisoft Montreal,8.6,2.06,1.2,0.62,0.04,2010
974,Need for Speed: Undercover,need-for-speed-undercover,Racing,PS3,Electronic Arts,EA Vancouver,5.9,2.06,0.63,1.01,0.05,2008
975,Need for Speed: ProStreet,need-for-speed-prostreet,Racing,X360,Electronic Arts,EA Black Box,7.1,2.05,1.04,0.79,0.01,2007
980,Dark Souls,dark-souls,Role-Playing,PS3,Namco Bandai,From Software,9.0,2.05,0.75,0.53,0.54,2011
983,Need for Speed: ProStreet,need-for-speed-prostreet,Racing,PS3,Electronic Arts,EA Black Box,7.2,2.04,0.73,0.91,0.04,2007
988,PGR4 - Project Gotham Racing 4,pgr4-project-gotham-racing-4,Racing,X360,Microsoft Game Studios,Bizarre Creations,8.6,2.04,0.48,1.28,0.02,2007
989,Dance Central 2,dance-central-2,Music,X360,Microsoft,Harmonix Music Systems,8.6,2.04,1.45,0.41,0.01,2011
990,Dragon Quest XI: Echoes of an Elusive Age,dragon-quest-xi-echoes-of-an-elusive-age,Role-Playing,PS4,Square Enix,Square Enix,10.0,2.04,0.29,0.22,1.43,2018
998,The Sims 3,the-sims-3,Simulation,PS3,Electronic Arts,The Sims Studio,8.1,2.03,0.73,0.96,0.02,2010
1004,Need for Speed: The Run,need-for-speed-the-run,Racing,PS3,Electronic Arts,EA Black Box,6.3,2.01,0.58,1.05,0.03,2011
1020,The Legend of Zelda: Ocarina of Time 3D,the-legend-of-zelda-ocarina-of-time-3d,Adventure,3DS,Nintendo,GREZZO,9.3,2.0,1.42,0.01,0.56,2011
1023,Tenchu: Stealth Assassins,tenchu-stealth-assassins,Action,PS,Activision,Acquire,8.8,1.99,0.95,0.64,0.27,1998
1025,Harry Potter and the Chamber of Secrets,harry-potter-and-the-chamber-of-secrets,Adventure,GBA,Electronic Arts,Eurocom Entertainment Software,7.2,1.99,1.21,0.64,0.05,2002
1026,Just Cause 3,just-cause-3,Action-Adventure,PS4,Square Enix,Avalanche Studios,7.5,1.98,0.53,1.07,0.09,2015
1037,Hot Shots Golf: Open Tee,hot-shots-golf-open-tee,Sports,PSP,Sony Computer Entertainment,Clap Hanz,8.4,1.96,0.5,0.5,0.63,2005
1042,Tom Clancy's Rainbow Six: Vegas,tom-clancys-rainbow-six-vegas,Shooter,X360,Ubisoft,Ubisoft Montreal,8.8,1.95,1.09,0.65,0.02,2006
1048,Burnout Paradise,burnout-paradise,Racing,PS3,Electronic Arts,Criterion Games,9.0,1.95,1.01,0.63,0.02,2008
1057,FIFA Soccer 09,fifa-soccer-09,Sports,X360,Electronic Arts,EA Canada,8.7,1.94,0.49,1.26,0.01,2008
1064,The Legend of Zelda: Oracle of Ages,the-legend-of-zelda-oracle-of-ages,Adventure,GBC,Nintendo,Flagship,9.4,1.92,0.92,0.53,0.41,2001
1069,PaRappa The Rapper,parappa-the-rapper,Misc,PS,Sony Computer Entertainment,NanaOn-Sha,9.2,1.92,0.26,0.16,1.46,1997
1071,Need for Speed: Shift,need-for-speed-shift,Racing,X360,Electronic Arts,Slightly Mad Studios,8.2,1.91,0.73,0.96,0.01,2009
1078,Star Wars Rogue Leader: Rogue Squadron II,star-wars-rogue-leader-rogue-squadron-ii,Simulation,GC,LucasArts,Factor 5,9.2,1.9,1.03,0.75,0.03,2001
1079,Tomb Raider (2013),tomb-raider-2013,Action,X360,Square Enix,Crystal Dynamics,8.5,1.9,0.86,0.87,0.01,2013
1089,Minecraft,minecraft,Sandbox,NS,Mojang,4J Studios,9.2,1.89,0.69,0.56,0.52,2018
1090,Ratchet & Clank Future: A Crack in Time,ratchet-amp-clank-future-a-crack-in-time,Platform,PS3,Sony Computer Entertainment,Insomniac Games,8.7,1.89,1.05,0.55,0.03,2009
1091,Madden NFL 09,madden-nfl-09,Sports,PS3,EA Sports,EA Tiburon,8.6,1.89,1.56,0.15,0.0,2008
1103,FIFA 2000,fifa-2000,Sports,PS,EA Sports,EA Canada,8.8,1.87,0.22,1.47,0.04,1999
1104,inFAMOUS 2,infamous-2,Action,PS3,Sony Computer Entertainment,Sucker Punch Productions,8.1,1.87,1.05,0.48,0.08,2011
1105,Star Wars: The Force Unleashed,star-wars-the-force-unleashed,Action,Wii,LucasArts,Krome Studios,6.8,1.86,1.11,0.56,0.0,2008
1106,The Legend of Zelda: Oracle of Seasons,the-legend-of-zelda-oracle-of-seasons,Adventure,GBC,Nintendo,Flagship,9.3,1.86,0.87,0.52,0.41,2001
1109,Shrek 2,shrek-2,Platform,PS2,Activision,"Luxoflux, Inc.",6.9,1.86,1.12,0.69,0.03,2004
1111,The Legend of Dragoon,the-legend-of-dragoon,Role-Playing,PS,Sony Computer Entertainment,SCEI,7.8,1.86,0.94,0.44,0.39,2000
1112,Turok 2: Seeds of Evil,turok-2-seeds-of-evil,Shooter,N64,Acclaim Entertainment,Iguana Entertainment,9.0,1.86,1.37,0.41,0.04,1998
1113,The Evil Within,the-evil-within,Action,PS4,Bethesda Softworks,Tango Gameworks,7.7,1.86,0.56,0.9,0.11,2014
1123,Forza Horizon 4,forza-horizon-4,Racing,XOne,Microsoft Studios,Playground Games,9.2,1.84,0.74,0.95,0.01,2018
1132,Air Combat,air-combat,Simulation,PS,Namco,Namco,7.0,1.83,0.92,0.33,0.52,1995
1134,Demon's Souls,demons-souls,Role-Playing,PS3,Atlus,From Software,9.1,1.83,0.97,0.34,0.35,2009
1140,BioShock Infinite,bioshock-infinite,Shooter,PS3,2K Games,Irrational Games,9.5,1.82,0.74,0.74,0.04,2013
1143,The Orange Box,the-orange-box,Shooter,X360,Electronic Arts,Valve Software,9.7,1.82,1.09,0.53,0.02,2007
1145,Crazy Taxi,crazy-taxi,Racing,DC,Sega,Hitmaker,9.3,1.81,1.1,0.51,0.12,2000
1150,Madden NFL 07,madden-nfl-07,Sports,X360,EA Sports,EA Tiburon,8.2,1.8,1.66,0.0,0.01,2006
1172,UFC 2009 Undisputed,ufc-2009-undisputed,Fighting,PS3,THQ,Yuke's Osaka,8.4,1.76,1.07,0.45,0.01,2009
1190,Just Cause 2,just-cause-2,Action,PS3,Square Enix,Avalanche Studios,8.3,1.75,0.45,0.92,0.06,2010
1198,FIFA Soccer 08,fifa-soccer-08,Sports,PS3,EA Sports,EA Canada,8.5,1.75,0.35,1.07,0.02,2007
1199,Crackdown,crackdown,Shooter,X360,Microsoft Game Studios,Realtime Worlds,8.4,1.75,1.0,0.53,0.03,2007
1204,Xenosaga Episode I: Der Wille zur Macht,xenosaga-episode-i-der-wille-zur-macht,Role-Playing,PS2,Namco,Monolith Soft,8.7,1.74,0.63,0.49,0.45,2003
1224,Titanfall 2,titanfall-2,Shooter,PS4,Electronic Arts,Respawn Entertainment,8.9,1.72,0.75,0.62,0.06,2016
1237,Portal 2,portal-2,Shooter,PS3,Valve,Valve Software,9.6,1.71,0.83,0.62,0.02,2011
1263,Need for Speed: Undercover,need-for-speed-undercover,Racing,X360,Electronic Arts,EA Vancouver,6.3,1.69,0.8,0.7,0.01,2008
1267,Harry Potter and the Sorcerer's Stone,harry-potter-and-the-sorcerers-stone,Action,GBA,Electronic Arts,Griptonite Games,6.6,1.69,0.87,0.66,0.08,2001
1271,Far Cry 4,far-cry-4,Shooter,XOne,Ubisoft,Ubisoft Montreal,8.5,1.68,0.85,0.68,0.02,2014
1272,Saints Row 2,saints-row-2,Action,PS3,THQ,Volition Inc.,7.9,1.68,0.88,0.54,0.02,2008
1276,Time Crisis,time-crisis,Shooter,PS,Namco,Namco,8.5,1.68,0.38,0.87,0.33,1997
1282,We Ski,we-ski,Sports,Wii,Namco Bandai,Bandai Namco Games,7.1,1.68,0.97,0.41,0.14,2008
1286,Dragon Age: Origins,dragon-age-origins,Role-Playing,PS3,Electronic Arts,BioWare Edmonton,8.7,1.67,0.96,0.42,0.08,2009
1291,PGR: Project Gotham Racing 2,pgr-project-gotham-racing-2,Racing,XB,Microsoft Game Studios,Bizarre Creations,8.9,1.67,0.97,0.59,0.04,2003
1310,Heavenly Sword,heavenly-sword,Action,PS3,Sony Computer Entertainment,Ninja Theory,8.0,1.65,0.57,0.73,0.06,2007
1311,MySims,mysims,Simulation,Wii,Electronic Arts,EA Redwood Shores,7.1,1.65,0.9,0.54,0.04,2007
1312,Need for Speed Carbon,need-for-speed-carbon,Racing,X360,Electronic Arts,EA Black Box,7.9,1.65,0.76,0.69,0.02,2006
1316,Army of Two,army-of-two,Shooter,X360,Electronic Arts,EA Montreal,6.7,1.64,1.09,0.37,0.02,2008
1329,Ape Escape,ape-escape,Platform,PS,Sony Computer Entertainment,SCE Japan Studio,9.3,1.63,0.71,0.48,0.32,1999
1331,Kinectimals,kinectimals,Simulation,X360,Microsoft Game Studios,Frontier Studio,7.5,1.62,1.02,0.46,0.0,2010
1332,Uncharted: Golden Abyss,uncharted-golden-abyss,Action,PSV,Sony Computer Entertainment,SCEA Bend Studio / Naughty Dog,7.9,1.62,0.53,0.71,0.13,2012
1335,The Order: 1886,the-order-1886,Shooter,PS4,Sony Computer Entertainment,Ready at Dawn,6.2,1.62,0.44,0.86,0.07,2015
1347,Rage,rage,Shooter,X360,Bethesda Softworks,id Software,7.9,1.6,0.82,0.6,0.03,2011
1366,Just Cause 2,just-cause-2,Action,X360,Square Enix,Avalanche Studios,8.0,1.6,0.59,0.83,0.02,2010
1367,Silent Hill,silent-hill,Adventure,PS,Konami,KCET,8.9,1.6,0.71,0.48,0.3,1999
1370,Sonic Generations,sonic-generations,Platform,PS3,Sega,Sonic Team,7.3,1.59,0.6,0.72,0.02,2011
1372,Far Cry 2,far-cry-2,Shooter,X360,Ubisoft,Ubisoft Montreal,8.5,1.59,0.72,0.69,0.02,2008
1373,Soul Blade,soul-blade,Fighting,PS,Namco,Namco,8.6,1.59,0.61,0.41,0.46,1997
1376,Pro Evolution Soccer 2008,pro-evolution-soccer-2008,Sports,PS3,Konami,Konami,7.1,1.59,0.04,1.1,0.32,2008
1382,Devil May Cry 4,devil-may-cry-4,Action,PS3,Capcom,Capcom,8.2,1.58,0.58,0.45,0.34,2008
1386,Pro Evolution Soccer 2010,pro-evolution-soccer-2010,Sports,PS2,Konami,Konami,7.2,1.57,0.1,0.18,0.12,2009
1406,BioShock 2,bioshock-2,Shooter,PS3,2K Games,2K Marin,8.5,1.55,0.85,0.46,0.02,2010
1409,007: The World is Not Enough,007-the-world-is-not-enough,Shooter,N64,Electronic Arts,Eurocom Entertainment Software,7.4,1.55,1.13,0.38,0.02,2000
1416,Go Vacation,go-vacation,Misc,Wii,Namco Bandai,Namco Bandai Games,7.0,1.54,0.42,0.66,0.33,2011
1419,Dark Cloud,dark-cloud,Role-Playing,PS2,Sony Computer Entertainment,Level 5,8.2,1.54,0.83,0.44,0.08,2001
1446,Forza Motorsport 7,forza-motorsport-7,Racing,XOne,Microsoft Studios,Turn 10 Studios,8.9,1.52,0.58,0.81,0.01,2017
1457,Call of Duty 3,call-of-duty-3,Shooter,PS3,Activision,Treyarch,7.7,1.51,0.6,0.63,0.03,2006
1463,Turok: Dinosaur Hunter,turok-dinosaur-hunter,Shooter,N64,Acclaim Entertainment,Iguana Entertainment,8.9,1.51,1.14,0.32,0.05,1997
1468,SoulCalibur II,soulcalibur-ii,Fighting,GC,Namco,Namco,9.2,1.5,0.99,0.32,0.11,2003
1470,Metal Gear Rising: Revengeance,metal-gear-rising-revengeance,Action,PS3,Konami Digital Entertainment,PlatinumGames,9.0,1.5,0.47,0.41,0.44,2013
1488,WWF No Mercy,wwf-no-mercy,Fighting,N64,THQ,Aki Corp.,9.1,1.5,1.2,0.27,0.02,2000
1493,Mafia II,mafia-ii,Action,PS3,2K Games,Illusion Softworks,7.0,1.49,0.5,0.7,0.04,2010
1494,Dead Rising 2,dead-rising-2,Action,X360,Capcom,Blue Castle Games,8.2,1.49,0.75,0.53,0.09,2010
1499,Resistance 3,resistance-3,Shooter,PS3,Sony Computer Entertainment,Insomniac Games,8.3,1.49,0.64,0.57,0.05,2011
1519,007: Quantum of Solace,007-quantum-of-solace,Shooter,X360,Activision,Treyarch,6.6,1.48,0.82,0.51,0.01,2008
1529,Minecraft,minecraft,Misc,WiiU,Mojang,4J Studios,5.5,1.47,0.5,0.49,0.38,2016
1531,Fight Night Round 3,fight-night-round-3,Fighting,X360,EA Sports,EA Chicago,8.6,1.47,1.33,0.03,0.01,2006
1538,Super Monkey Ball,super-monkey-ball,Puzzle,GC,Sega,Amusement Vision,9.0,1.46,0.95,0.37,0.1,2001
1541,Resident Evil 4: Wii Edition,resident-evil-4-wii-edition,Action,Wii,Capcom,Capcom Production Studio 4,9.2,1.46,1.26,0.06,0.14,2007
1547,Battlefield: Bad Company,battlefield-bad-company,Shooter,X360,Electronic Arts,EA Digital Illusions CE,8.6,1.46,0.81,0.46,0.04,2008
1548,Mass Effect 2,mass-effect-2,Role-Playing,PS3,Electronic Arts,BioWare Edmonton,9.3,1.46,0.78,0.46,0.03,2011
1549,Homefront,homefront,Shooter,X360,THQ,Kaos Studios,6.7,1.46,0.83,0.48,0.02,2011
1563,The House of the Dead 2 & 3 Return,the-house-of-the-dead-2-amp-3-return,Shooter,Wii,Sega,Sega,6.5,1.45,0.77,0.5,0.03,2008
1565,BioShock,bioshock,Shooter,PS3,2K Games,2K Boston / 2K Australia / 2K Marin,9.3,1.44,0.75,0.48,0.01,2008
1575,WWE SmackDown vs Raw 2008,wwe-smackdown-vs-raw-2008,Fighting,X360,THQ,Yuke's Media Creations,7.3,1.43,0.92,0.38,0.0,2007
1578,Kinect Joy Ride,kinect-joy-ride,Racing,X360,Microsoft Game Studios,Big Park,5.6,1.43,0.92,0.39,0.0,2010
1597,UFC Undisputed 2010,ufc-undisputed-2010,Fighting,PS3,THQ,Yuke's Future Media Creators,8.4,1.42,0.8,0.4,0.02,2010
1598,Rayman Raving Rabbids,rayman-raving-rabbids,Misc,Wii,Ubisoft,Ubisoft Montpellier,7.5,1.42,1.22,0.07,0.02,2006
1608,Ridge Racer,ridge-racer,Racing,PSP,Namco,Namco,8.8,1.41,0.36,0.45,0.32,2005
1635,Sonic Generations,sonic-generations,Platform,X360,Sega,Sonic Team,7.7,1.39,0.71,0.54,0.0,2011
1643,Far Cry 2,far-cry-2,Shooter,PS3,Ubisoft,Ubisoft Montreal,8.4,1.38,0.43,0.69,0.01,2008
1645,Deus Ex: Human Revolution,deus-ex-human-revolution,Shooter,X360,Square Enix,Eidos Montreal,8.8,1.38,0.77,0.47,0.02,2011
1648,Deus Ex: Human Revolution,deus-ex-human-revolution,Shooter,PS3,Square Enix,Eidos Montreal,8.8,1.38,0.5,0.6,0.07,2011
1658,Crysis 2,crysis-2,Shooter,X360,Electronic Arts,Crytek,8.7,1.37,0.73,0.5,0.02,2011
1660,Dead Rising 2,dead-rising-2,Action,PS3,Capcom,Blue Castle Games,8.1,1.37,0.43,0.57,0.15,2010
1671,Need for Speed: The Run,need-for-speed-the-run,Racing,X360,Electronic Arts,EA Black Box,5.5,1.37,0.63,0.57,0.0,2011
1673,GoldenEye 007,goldeneye-007,Shooter,Wii,Activision,Eurocom Entertainment Software,8.0,1.36,0.76,0.6,0.0,2010
1676,Wolfenstein II: The New Colossus,wolfenstein-ii-the-new-colossus,Shooter,PS4,Bethesda Softworks,MachineGames,9.0,1.36,0.55,0.58,0.01,2017
1680,Gardening Mama,gardening-mama,Puzzle,DS,Majesco,Taito Corporation,6.6,1.36,0.79,0.42,0.01,2009
1683,Marvel vs. Capcom 3: Fate of Two Worlds,marvel-vs-capcom-3-fate-of-two-worlds,Fighting,PS3,Capcom,Capcom,8.2,1.36,0.81,0.28,0.11,2011
1685,Metroid: Other M,metroid-other-m,Action,Wii,Nintendo,Nintendo SPD Production Group 1/Team Ninja,7.7,1.36,0.85,0.28,0.13,2010
1691,Burnout Paradise,burnout-paradise,Racing,X360,Electronic Arts,Criterion,8.9,1.35,0.63,0.57,0.01,2008
