Rank,Name,basename,Genre,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Year
161,Red Dead Redemption,red-dead-redemption,Action,X360,Rockstar Games,Rockstar San Diego,9.5,6.5,3.77,2.03,0.09,2010
162,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,PS3,Bethesda Softworks,Bethesda Game Studios,9.0,6.49,2.57,2.68,0.25,2011
166,Halo 3: ODST,halo-3-odst,Shooter,X360,Microsoft Game Studios,Bungie,8.7,6.35,4.34,1.34,0.06,2009
167,Minecraft,minecraft,Misc,PS4,Sony Computer Entertainment,Mojang,9.4,6.33,1.89,3.13,0.35,2014
168,FIFA 15,fifa-15,Sports,PS4,EA Sports,EA Canada,8.1,6.32,0.83,4.49,0.05,2014
171,The Last of Us,the-last-of-us,Action-Adventure,PS3,Sony Computer Entertainment America,Naughty Dog,9.5,6.27,2.41,2.57,0.29,2013
172,Driver,driver,Action,PS,GT Interactive,Reflections Interactive,8.5,6.27,3.11,2.8,0.02,1999
174,God of War (2018),god-of-war-2018,Action,PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,9.7,6.15,2.83,2.17,0.13,2018
177,Metal Gear Solid 2: Sons of Liberty,metal-gear-solid-2-sons-of-liberty,Action,PS2,Konami,Konami Computer Entertainment Japan,9.5,6.05,2.45,2.01,0.87,2001
181,Metal Gear Solid 4: Guns of the Patriots,metal-gear-solid-4-guns-of-the-patriots,Action,PS3,Konami,Kojima Productions,9.3,6.0,2.63,1.72,0.83,2008
185,LittleBigPlanet,littlebigplanet,Platform,PS3,Sony Computer Entertainment,Media Molecule,9.4,5.85,2.8,2.01,0.17,2008
193,Tekken 2,tekken-2,Fighting,PS,Namco,Namco,9.1,5.74,2.26,1.89,1.36,1996
197,Cooking Mama,cooking-mama,Simulation,DS,Majesco,Office Create,6.6,5.66,3.09,1.92,0.07,2006
201,Assassin's Creed II,assassins-creed-ii,Action,PS3,Ubisoft,Ubisoft Montreal,9.0,5.57,2.54,1.95,0.21,2009
203,Assassin's Creed,assassins-creed,Action,X360,Ubisoft,Ubisoft Montreal,8.2,5.55,3.28,1.64,0.07,2007
204,Batman: Arkham City,batman-arkham-city,Action,PS3,Warner Bros. Interactive,Rocksteady Studios,9.6,5.54,2.72,1.89,0.11,2011
205,Forza Motorsport 3,forza-motorsport-3,Racing,X360,Microsoft Game Studios,Turn 10 Studios,9.2,5.5,2.99,1.9,0.1,2009
215,Crash Bandicoot: The Wrath of Cortex,crash-bandicoot-the-wrath-of-cortex,Platform,PS2,Universal Interactive,Traveller's Tales,6.9,5.42,2.07,2.29,0.24,2001
217,Final Fantasy XIII,final-fantasy-xiii,Role-Playing,PS3,Square Enix,Square Enix,8.0,5.35,1.75,1.23,1.87,2010
223,Assassin's Creed II,assassins-creed-ii,Action,X360,Ubisoft,Ubisoft Montreal,9.1,5.3,3.14,1.55,0.08,2009
228,Tomb Raider II,tomb-raider-ii,Adventure,PS,Eidos Interactive,Core Design Ltd.,7.6,5.24,2.3,2.46,0.2,1997
229,Madden NFL 2004,madden-nfl-2004,Sports,PS2,EA Sports,EA Tiburon,9.5,5.23,4.26,0.26,0.01,2003
230,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,XOne,Activision,Sledgehammer Games,8.3,5.22,3.25,1.49,0.01,2014
238,Medal of Honor: Rising Sun,medal-of-honor-rising-sun,Shooter,PS2,Electronic Arts,EA Los Angeles,5.9,5.13,1.98,2.23,0.13,2003
244,Resident Evil 5,resident-evil-5,Action,PS3,Capcom,Capcom,8.6,5.1,1.96,1.42,1.08,2009
245,Fable III,fable-iii,Role-Playing,X360,Microsoft Game Studios,Lionhead Studios,7.8,5.1,3.59,1.09,0.05,2010
246,Mario & Sonic at the Olympic Games,mario-amp-sonic-at-the-olympic-games,Sports,DS,Sega,Sega,7.0,5.1,1.63,2.46,0.44,2008
247,Grand Theft Auto: Vice City Stories,grand-theft-auto-vice-city-stories,Action,PSP,Rockstar Games,Rockstar Leeds,8.4,5.08,1.7,2.03,0.16,2006
248,FIFA Soccer 11,fifa-soccer-11,Sports,PS3,EA Sports,EA Canada,8.7,5.08,0.61,3.28,0.06,2010
250,Final Fantasy XV,final-fantasy-xv,Role-Playing,PS4,Square Enix,Square Enix,8.1,5.07,1.81,1.53,1.05,2016
251,Fallout 4,fallout-4,Role-Playing,XOne,Bethesda Softworks,Bethesda Game Studios,8.4,5.03,2.94,1.62,0.02,2015
252,Tony Hawk's Pro Skater,tony-hawks-pro-skater,Sports,PS,Activision,Neversoft Entertainment,9.6,5.02,3.42,1.38,0.02,1999
254,Spyro the Dragon,spyro-the-dragon,Platform,PS,Sony Computer Entertainment,Insomniac Games,8.7,5.0,3.36,1.36,0.07,1998
261,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,PS2,RedOctane,BudCat Creations,8.2,4.98,3.49,0.01,0.01,2007
262,Uncharted: Drake's Fortune,uncharted-drakes-fortune,Action,PS3,Sony Computer Entertainment,Naughty Dog,8.7,4.97,2.32,1.73,0.12,2007
264,Fallout 3,fallout-3,Role-Playing,X360,Bethesda Softworks,Bethesda Game Studios,9.0,4.96,3.41,0.99,0.09,2008
266,Madden NFL 06,madden-nfl-06,Sports,PS2,EA Sports,EA Tiburon,9.1,4.91,3.98,0.26,0.01,2005
275,Assassin's Creed,assassins-creed,Action,PS3,Ubisoft,Ubisoft Montreal,8.2,4.83,1.91,2.01,0.09,2007
277,Crash Team Racing,crash-team-racing,Racing,PS,Sony Computer Entertainment,Naughty Dog,9.2,4.79,2.57,1.57,0.44,1999
280,Batman: Arkham City,batman-arkham-city,Action,X360,Warner Bros. Interactive,Rocksteady Studios,9.5,4.75,2.99,1.28,0.04,2011
281,Driver 2,driver-2,Action,PS,Atari,Reflections Interactive,7.0,4.73,2.36,2.1,0.02,2000
